pair_index,camera_index,frame_index,frame_id,camera_timestamp,host_timestamp_ns
0,0,0,0,27833652503184,1777524069127880600
0,1,0,0,27833105063184,1777524069130123400
1,0,1,1,27833654901424,1777524069130123400
1,1,1,1,27833107462048,1777524069130123400
2,0,2,2,27833657299696,1777524069130123400
2,1,2,2,27833109859904,1777524069134877500
3,0,3,3,27833659698824,1777524069134877500
3,1,3,3,27833112258832,1777524069136329700
4,0,4,4,27833662096880,1777524069137551400
4,1,4,4,27833114656840,1777524069139769000
5,0,5,5,27833664495424,1777524069139769000
5,1,5,5,27833117055160,1777524069141312300
6,0,6,6,27833666893904,1777524069142642100
6,1,6,6,27833119453384,1777524069143702300
7,0,7,7,27833669291864,1777524069143702300
7,1,7,7,27833121851384,1777524069146210600
8,0,8,8,27833671690584,1777524069147211400
8,1,8,8,27833124250008,1777524069148718500
9,0,9,9,27833674088920,1777524069149718900
9,1,9,9,27833126648824,1777524069150466700
10,0,10,10,27833676486864,1777524069150466700
10,1,10,10,27833129046952,1777524069150466700
11,0,11,11,27833678885680,1777524069154444100
11,1,11,11,27833131444920,1777524069155448200
12,0,12,12,27833681283904,1777524069155448200
12,1,12,12,27833133843728,1777524069158765200
13,0,13,13,27833683681424,1777524069159813400
13,1,13,13,27833136241904,1777524069161360000
14,0,14,14,27833686080064,1777524069161360000
14,1,14,14,27833138640104,1777524069162213800
15,0,15,15,27833688478680,1777524069162213800
15,1,15,15,27833141038368,1777524069162213800
16,0,16,16,27833690876952,1777524069166577700
16,1,16,16,27833143436880,1777524069168207100
17,0,17,17,27833693274920,1777524069168207100
17,1,17,17,27833145835576,1777524069170798200
18,0,18,18,27833695673784,1777524069170798200
18,1,18,18,27833148233880,1777524069170798200
19,0,19,19,27833698071952,1777524069170798200
19,1,19,19,27833150631920,1777524069175407600
20,0,20,20,27833700470672,1777524069175407600
20,1,20,20,27833153030368,1777524069177421600
21,0,21,21,27833702868840,1777524069177421600
